 ,Is your character male?,Is your character from the village hidden in stone?,Is your character from the village hidden in mist?,Is your character from the village hidden in leaf?,Is your character from the village hidden in sand?,Is your character from the village hidden in cloud?,Is your character from any of the 5 hidden villages?,Does your character possess bloodline limit?,Does your character have visual prowess?,Can your character do genjutsu?,Has your character been a member in akatsuki?,Is he/she a jinchuriki?,Is his/her highest rank jounin?,Is his/her highest rank chunnin?,Is his/her highest rank genin?,Is taijutsu your character's speciality?,Has your character ever been a kage?,Is he/she dead?,Is he/she old?,Can your character do summoning?,Was your character some kage's disciple?,Was your character some kage's sensei?,Is your character's hair color white?,Is your character's hair color red?,Is your character's hair color yellow?,Is your character's hair color black?,Is your character bad?,Is your character one of the legendary sennin?,Has your character ever been a teacher to anyone?,Is your character one of the 7 swordsmen of bloody mist?,Does your character have a scar on face?,Is your character known for eyebrows?,Does your character possess byakugan?,Is your character fat?,Is he from the 'ino-shika-chou' trio?,Can your character use the element fire?,Can your character use the element lightning?,Can your character use the element earth?,Can your character use the element water?,Can your character use the element wind?,Does your character summon frogs?,Does your character summon weapons?,Does your character summons slugs?,Does your character summon snakes?,Is your character a puppet jutsu user,Is your character among the 12 guardian ninjas?,Does your character wear glasses?,Can your character use element wood?,Does your character use scythe?,Does your character have many hearts?,Can your character do medical ninjutsu?,Does your character have blue clothes on ?,Does your character possess kekkei tota?,Does your character wear mask?,Does your character know senjutsu?,Does your character use insects?,Is your character not a human?,Is your character a summon?,Is your character a biju?,Is your character linked to dogs?,Is your character related to monkeys?,Does your character hide face?,Does your character possess rinnegan(at any point of time)?,Does your character possess Sharingan(at any point of time)?,Does your character use explosives?,Did your character kill his entire clan?,Does your character use sand?,Is your character related to root?,Does your character draw paintings?
Kiba,3,1,1,2,1,1,1,1,3,1,2,1,2,1,1,3,1,3,1,3,1,2,2,2,1,3,1,1,3,1,2,2,1,1,3,2,1,1,3,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,3,3
Rock Lee,4,2,1,2,1,1,2,1,4,1,3,3,2,1,2,4,2,4,2,4,2,1,3,3,1,4,1,1,4,2,1,4,3,2,3,3,3,1,3,1,1,1,1,1,2,1,2,2,1,2,1,1,2,1,2,1,1,1,2,2,1,2,2,2,1,1,1,1,1
Neji Hyuga,2,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,2,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tenten,3,1,1,2,1,1,1,1,2,1,1,2,2,1,1,2,1,2,1,3,1,1,1,1,1,3,1,1,3,1,1,1,1,1,1,3,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
Asuma Sarutobi,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
Kurenai,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
Minato Namekaze,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,4,3,4,4,1,2,1,1,4,2,1,2,1,1,1,1,1,1,3,3,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Hiruzen Sarutobi,1,1,1,1,1,1,1,1,1,5,3,1,2,1,1,1,3,5,1,5,2,2,1,1,1,5,1,1,4,1,1,1,1,1,1,3,3,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tobirama Senju,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sasori,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Uchiha Itachi,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,3,1,3,1,1,1,2,1,3,3,1,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
hidan,3,1,1,2,1,1,2,1,1,1,3,1,3,1,2,2,1,2,1,3,1,1,1,1,1,3,1,1,3,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kakuzu,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Deidara,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Pain(Nagato),1,1,1,1,1,1,1,2,3,3,3,1,1,1,1,1,1,5,1,5,1,2,5,1,1,5,2,2,3,1,1,1,1,1,1,5,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1
Hoshikage Kisame,1,1,1,2,1,1,1,1,1,1,3,1,5,1,2,2,1,6,2,6,1,1,1,1,1,6,3,1,4,2,1,1,1,1,1,6,1,3,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1
Yakushi Kabuto,3,1,1,4,1,1,1,2,2,2,2,3,4,1,3,3,2,4,1,4,4,1,2,2,1,4,2,1,4,1,1,1,1,1,2,2,1,1,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1
Uchiha Obito,1,1,1,1,1,1,1,1,3,2,2,1,2,1,2,1,1,3,1,3,3,1,1,1,1,3,1,1,1,1,2,1,1,1,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1
Gaara,4,1,1,2,1,1,1,1,2,1,2,2,1,1,1,1,5,5,1,5,2,1,3,3,1,5,1,1,4,1,2,1,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
kankuro,3,1,1,3,1,1,1,1,1,4,1,1,1,1,1,2,3,3,1,4,1,1,1,1,1,4,1,1,4,1,2,2,1,1,2,4,1,1,2,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,2,4,1,1,1,1,4,1,1,1,1,1,2,1
Sai,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2
Danzo Shimura,1,1,1,1,1,1,1,1,3,5,3,1,1,1,1,1,6,6,1,6,4,3,1,1,1,6,4,1,5,1,3,1,1,1,1,5,2,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,3,1,5,1,1,1,2,1
Pakkun,4,1,1,5,1,1,1,1,2,1,2,1,5,1,4,1,1,4,1,5,1,1,3,1,1,5,1,1,5,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,1,3,1,1,1,1,1,1,1,1,1
Temari,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Kurama(Kyubi),5,1,1,4,1,1,1,1,3,1,1,2,5,1,3,3,1,5,1,5,2,2,1,2,1,5,3,1,5,1,2,1,1,1,3,3,1,2,2,1,1,1,1,1,1,1,2,1,1,1,3,1,1,1,1,3,5,3,4,5,1,1,1,1,1,1,1,2,2
Yamato(Kinoe),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1
Rin Nohara,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Momochi Zabuza,2,1,1,3,1,1,1,2,1,1,2,2,2,1,1,1,1,3,1,3,1,1,1,1,2,3,2,1,1,1,1,1,1,1,1,3,1,2,3,2,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,2,2,2,1,2,1,3,1,2,1,1,1,1,1
Iruka Sensei,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2
Kushina Uzumaki,5,1,1,6,1,1,1,2,3,1,1,3,6,1,1,2,1,6,1,6,2,1,1,3,1,6,1,1,6,1,1,1,2,1,2,4,1,1,3,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bee,4,1,1,4,1,1,1,1,2,1,2,1,3,1,1,3,1,4,1,4,2,1,4,2,2,4,4,1,4,1,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1
Anko Mitarashi,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Karin Uzumaki,2,1,1,2,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Konahamaru,2,2,1,1,1,1,1,3,2,3,3,1,2,1,1,2,1,3,2,3,2,1,1,1,1,3,2,1,3,1,1,1,1,1,2,3,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1
